#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Img Link,Descrição,Descrição Pt-Br
431,Glameow,310,49,55,42,42,37,85,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/211a2a746e956cc71256745ed31d2689a0225d9b.png,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.,Ele arranha quando está descontente e ronrona quando é afetuoso. Sua inconstância é muito popular entre alguns.
432,Purugly,452,71,82,64,64,59,112,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/62de04737da0fb972352a9cb8aa3f2234eeb866e.png,It would claim another Pokémon's nest as its ownif it finds a nest sufficiently comfortable.,Ele reivindicaria o ninho de outro Pokémon como seu se encontrasse um ninho suficientemente confortável.
433,Chingling,285,45,30,50,65,50,45,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/bda164d09f72c726b5c9bb471a17b2b20993fe17.png,"There is an orb inside its mouth. When it hops, the orb bounces all over and makes a ringing sound.","Há um orbe dentro de sua boca. Quando salta, o orbe salta e emite um som de toque."
434,Stunky,329,63,63,47,41,41,74,Poison,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/54a97452974114ee7ad44a2a646ac17587962eb7.png,"It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away.","Ele espalha um fluido sujo pela parte traseira. Seu fedor se espalha por um raio de um quilômetro, afastando os Pokémon."
435,Skuntank,479,103,93,67,71,61,84,Poison,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8ffc8914f81e8ce1f3d63da79d13c87cb5e4bc50.png,It attacks by spraying a horribly smelly fluid from the tip of its tail. Attacks from above confound it.,Ele ataca borrifando um fluido com um cheiro horrível na ponta da cauda. Ataques vindos de cima o confundem.
436,Bronzor,300,57,24,86,24,86,23,Steel,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/4d4d7ede9f3fcabe88868fd00c24e5e853e86d15.png,Ancient people believed that the pattern on Bronzor’s back contained a mysterious power.,Os povos antigos acreditavam que o padrão nas costas de Bronzor continha um poder misterioso.
437,Bronzong,500,67,89,116,79,116,33,Steel,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a656b7eb5b6ea83b2b73ec735e934362414adcb9.png,"In ages past, this Pokémon was revered as a bringer of rain. It was found buried in the ground.","Em épocas passadas, este Pokémon foi reverenciado como aquele que traz chuva. Foi encontrado enterrado no chão."
438,Bonsly,290,50,80,95,10,45,10,Rock,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7edc819f6ebd67cdd927c94ba24597db632d1382.png,"In order to adjust the level of fluids in its body, it exudes water from its eyes. This makes it appear to be crying.","Para ajustar o nível de fluidos em seu corpo, ele exala água dos olhos. Isso faz com que pareça que você está chorando."
439,Mime Jr.,310,20,25,45,70,90,60,Psychic,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fffde76e49de70c9df4dae6b7f72ca89319427ec.png,"It mimics everyone it sees, but it puts extra effort into copying the graceful dance steps of Mr. Rime as practice.","Ele imita todos que vê, mas faz um esforço extra para copiar os graciosos passos de dança do Sr. Rime como prática."
440,Happiny,220,100,5,5,15,65,30,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/68fb6785cd8ac32bd3e9a623c29dd4f9f880c0bc.png,"It carries a round, white rock in its belly pouch. If it gets along well with someone, it will sometimes give that person the rock.","Ele carrega uma pedra redonda e branca em sua bolsa abdominal. Se se dá bem com alguém, às vezes dará a pedra a essa pessoa."
441,Chatot,411,76,65,45,92,42,91,Normal,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e5c49f066748cdb4093e4176d0e5cc0d8a8ff30a.png,It mimics the cries of other Pokémon to trick theminto thinking it's one of them. This way they won'tattack it.,Ele imita os gritos de outros Pokémon para fazê-los pensar que é um deles. Dessa forma eles não atacarão.
442,Spiritomb,485,50,92,108,92,108,35,Ghost,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/9f00195b2791c7f796148202bb38a4eb2adc04f5.png,Its constant mischief and misdeeds resulted in it being bound to an Odd Keystone by a mysterious spell.,Suas constantes travessuras e delitos resultaram em sua ligação a uma Pedra Angular Estranha por um feitiço misterioso.
443,Gible,300,58,70,45,40,45,42,Dragon,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/809114c002019e1937a8738a7c5b02f77f641768.png,"It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them. The force of its attack sometimes chips its teeth.","Ele se esconde em cavernas e, quando uma presa ou um inimigo passa, salta e os mastiga. A força do seu ataque às vezes quebra seus dentes."
444,Gabite,410,68,90,65,50,55,82,Dragon,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/34f2f90f5146bb8b42c89d6608c582f8f4651ff3.png,"In rare cases, it molts and sheds its scales. Medicine containing its scales as an ingredient will make a weary body feel invigorated.","Em casos raros, ele muda e perde suas escamas. Os medicamentos que contêm suas escamas como ingrediente farão com que o corpo cansado se sinta revigorado."
445,Garchomp,600,108,130,95,80,85,102,Dragon,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d4d0ef0113d937d63f150354bd7a1869b36f33ea.png,"It is said that when one runs at high speed, its wings create blades of wind that can fell nearby trees.","Diz-se que quando alguém corre em alta velocidade, suas asas criam lâminas de vento que podem derrubar árvores próximas."
445,Mega Garchomp,700,108,170,115,120,95,92,Dragon,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/aec0f6071e56c3ca9fafe8ca98683033077e710e.png,"Its arms and wings melted into something like scythes. Mad with rage, it rampages on and on.","Seus braços e asas se fundiram em algo parecido com foices. Louco de raiva, ele ataca sem parar."
446,Munchlax,390,135,85,40,40,85,5,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/9045520683084c28ae9f459d29426567e72d8abe.png,"It needs to consume its own weight in food every day. As far as flavor is concerned, it's indifferent.","Ele precisa consumir seu próprio peso em alimentos todos os dias. No que diz respeito ao sabor, é indiferente."
447,Riolu,285,40,70,40,35,40,60,Fighting,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/aae700aa7bb29fae4a30b77c495b0b66406d74d6.png,They communicate with one another using their auras. They are able to run all through the night.,Eles se comunicam usando suas auras. Eles são capazes de correr a noite toda.
448,Lucario,525,70,110,70,115,70,90,Fighting,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1e83fbcb00ab179cc89db5c53baea3e72d5942ad.png,"It’s said that no foe can remain invisible to Lucario, since it can detect auras—even those of foes it could not otherwise see.","Dizem que nenhum inimigo pode permanecer invisível para Lucario, já que ele pode detectar auras – mesmo aquelas de inimigos que de outra forma não poderia ver."
448,Mega Lucario,625,70,145,88,140,70,112,Fighting,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/600318f01f6fb95bbdaaebfd21644d1caefd43a7.png,"Its aura has expanded due to Mega Evolution. Governed only by its combative instincts, it strikes enemies without mercy.","Sua aura se expandiu devido à Mega Evolução. Governado apenas pelos seus instintos combativos, ataca os inimigos sem piedade."
449,Hippopotas,330,68,72,78,38,42,32,Ground,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b29e7ce575c69eb80894de8c529eaa073528cfc0.png,"It shuts its nostrils tight, then travels through sand as if walking. They form colonies of around 10.",Ele fecha bem as narinas e depois viaja pela areia como se estivesse caminhando. Eles formam colônias de cerca de 10.
450,Hippowdon,525,108,112,118,68,72,47,Ground,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/9cf686e06841bf55df81b7d081d7329851eb5d50.png,It is surprisingly quick to anger. It holds its mouth agape as a display of its strength.,É surpreendentemente rápido ficar com raiva. Ele mantém a boca aberta como uma demonstração de sua força.
451,Skorupi,330,40,50,90,30,55,65,Poison,Bug,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0e7e54f2b2460caca3d9c56dacc988679667fbd7.png,"After burrowing into the sand, it waits patiently for prey to come near. This Pokémon and Sizzlipede share common descent.","Depois de se enterrar na areia, espera pacientemente que a presa se aproxime. Este Pokémon e Sizzlipede compartilham descendência comum."
452,Drapion,500,70,90,110,60,75,95,Poison,Dark,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/004f2219d6d2e54f41e00343714b9313d9efd99d.png,"Its poison is potent, but it rarely sees use. This Pokémon prefers to use physical force instead, going on rampages with its car-crushing strength.","Seu veneno é potente, mas raramente é usado. Este Pokémon prefere usar a força física, atacando violentamente com sua força esmagadora de carros."
453,Croagunk,300,48,61,40,61,40,50,Poison,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/985595fa70c8adc4f26a2074e19aa2d9596b116a.png,"Inflating its poison sacs, it fills the area with an odd sound and hits flinching opponents with a poison jab.","Inflando seus sacos de veneno, ele preenche a área com um som estranho e atinge oponentes vacilantes com um golpe de veneno."
454,Toxicroak,490,83,106,65,86,65,85,Poison,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1f4f69841259e490584d640a1d8d8cc69f6f57a8.png,"Swaying and dodging the attacks of its foes, it weaves its flexible body in close, then lunges out with its poisonous claws.","Balançando e esquivando-se dos ataques de seus inimigos, ele aproxima seu corpo flexível e então ataca com suas garras venenosas."
455,Carnivine,454,74,100,72,90,72,46,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8ab6e40e0c858498151863038c26694589773b86.png,"It attracts prey with its sweet-smelling saliva, thenchomps down. It takes a whole day to eat prey.",Ele atrai a presa com sua saliva de cheiro adocicado e depois a mastiga. Demora um dia inteiro para comer uma presa.
456,Finneon,330,49,49,56,49,61,66,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1b036ae520b440aa9741b1c4193c7a50ce5214e7.png,The line running down its side can store sunlight. It shines vividly at night.,A linha que percorre sua lateral pode armazenar a luz solar. Brilha vividamente à noite.
457,Lumineon,460,69,69,76,69,86,91,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/da6e50df7d20aad11facd637f65e767516821418.png,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.","Com sua luz brilhante, ele atrai sua presa para perto. No entanto, a luz também atrai peixes Pokémon ferozes – seus predadores naturais."
458,Mantyke,345,45,20,50,60,120,50,Water,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a8eb238e6822602c3a151f7ed56de77517284d3b.png,Mantyke living in Galar seem to be somewhat sluggish. The colder waters of the seas in this region may be the cause.,Mantyke que mora em Galar parece um tanto lento. As águas mais frias dos mares desta região podem ser a causa.
459,Snover,334,60,62,50,62,60,40,Grass,Ice,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/55f6459045c82463cf86e6021a78673a308e2b5d.png,"During cold seasons, it migrates to the mountain’s lower reaches. It returns to the snow-covered summit in the spring.","Durante as estações frias, migra para as partes mais baixas da montanha. Ele retorna ao cume coberto de neve na primavera."
460,Abomasnow,494,90,92,75,92,85,60,Grass,Ice,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/78cf3a00eb7c442d2f93136ac1e5ff298381c135.png,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.,Ele vive uma vida tranquila em montanhas perpetuamente cobertas de neve. Ele se esconde provocando nevascas.
460,Mega Abomasnow,594,90,132,105,132,105,30,Grass,Ice,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e7aead89c6404be16d7c69ced223b9f5567d6bed.png,It blankets wide areas in snow by whipping upblizzards. It is also known as [Character2:L_DoubleQuot. ]The Ice Monster. [Character2:R_DoubleQuot. ],"Ele cobre amplas áreas com neve, provocando nevascas. Também é conhecido como [Character2:L_DoubleQuot. ]O Monstro do Gelo. [Personagem2:R_DoubleQuot. ]"
461,Weavile,510,70,120,65,45,85,125,Dark,Ice,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/4647a07643460c510c56a3d66a0a056d3acecfbe.png,Evolution made it even more devious. It communicates by clawing signs in boulders.,A evolução tornou tudo ainda mais tortuoso. Ele se comunica arranhando sinais em pedras.
462,Magnezone,535,70,70,115,130,90,60,Electric,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2ab2b39586d0d13a9f5bbb10bbc5ca7acfd1b87d.png,"As it zooms through the sky, this Pokémon seems to be receiving signals of unknown origin while transmitting signals of unknown purpose.","À medida que voa pelo céu, este Pokémon parece receber sinais de origem desconhecida enquanto transmite sinais de propósito desconhecido."
463,Lickilicky,515,110,85,95,80,95,50,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8b39a69974c0a1bf5ae8076e241bc6cd56147420.png,A contest is under way to determine which one can stick its tongue out the farthest. The current record is... more than 82 feet.,Está em andamento um concurso para determinar qual deles consegue mostrar a língua mais longe. O recorde atual é... mais de 25 metros.
464,Rhyperior,535,115,140,130,55,55,40,Ground,Rock,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/532303e5b084a5a419be52e8b1e788cd92156450.png,This Pokémon's sturdy carapace protects it from volcanic eruptions. It shoots round rocks from the holes in its hands.,A robusta carapaça deste Pokémon o protege de erupções vulcânicas. Ele atira pedras redondas pelos buracos em suas mãos.
465,Tangrowth,535,100,100,125,110,50,50,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/db4c38f5a6f59162fc470cb02f8cbd03df71b144.png,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.,Ele captura a presa estendendo braços feitos de videiras. Perder armas para predadores não o incomoda.
466,Electivire,540,75,123,67,95,85,95,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ea3336a1c8d6fbbfddf7339f748f516fdbf479a2.png,"When it gets excited, it thumps its chest. With every thud, thunder roars and electric sparks shower all around.","Quando fica excitado, bate no peito. A cada baque, trovões rugem e faíscas elétricas caem por toda parte."
467,Magmortar,540,75,95,67,125,95,83,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6bec00f39c3b07e12175e9b9723ce3c7e87fe910.png,"When shooting 3,600 degree Fahrenheit fireballs from its arms, its body takes on a whitish hue from the intense heat.","Ao disparar bolas de fogo de 3.600 graus Fahrenheit de seus braços, seu corpo adquire uma tonalidade esbranquiçada devido ao calor intenso."
468,Togekiss,545,85,50,95,120,115,80,Fairy,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d3c43e93db47217ee457ac9226115fcc514e983e.png,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all.","Esses Pokémon nunca são vistos perto de conflitos ou turbulências. Nos últimos tempos, eles quase não foram vistos."
469,Yanmega,515,86,76,86,116,56,95,Bug,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/570d7e9399add0a24e70929bd65a8d959329d7a9.png,Yanmega's wingbeats are so powerful that the Pokémon blows down huge trees nearby when it vigorously launches itself into flight.,As batidas de asas de Yanmega são tão poderosas que o Pokémon derruba enormes árvores próximas quando se lança vigorosamente no vôo.
470,Leafeon,525,65,110,130,60,65,95,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7f1e68189aba8d4c1fa4513ea2a9559d1e64799a.png,"When you see Leafeon asleep in a patch of sunshine, you’ll know it is using photosynthesis to produce clean air.","Quando você vir Leafeon dormindo sob um raio de sol, saberá que ele está usando a fotossíntese para produzir ar limpo."
471,Glaceon,525,65,60,110,130,95,65,Ice,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/bac1f907c1b3d8eb9ea77477c395cf31147b47e5.png,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust.","Ele pode controlar a temperatura corporal à vontade. Isso permite congelar a umidade da atmosfera, criando rajadas de pó de diamante."
472,Gliscor,510,75,95,125,45,75,95,Ground,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d7733c329cc74387d6c197cb3ba72061d0c5c718.png,"If it succeeds in catching even a faint breeze properly, it can circle the globe without flapping once.","Se conseguir captar adequadamente até mesmo uma leve brisa, poderá circundar o globo sem bater nenhuma vez."
473,Mamoswine,530,110,130,80,70,60,80,Ice,Ground,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b4b1364ac4bb4e243c43749a26ed3a1d617d2244.png,"A frozen Mamoswine was dug from ice dating back 10,000 years. This Pokémon has been around a long, long, long time.","Um Mamoswine congelado foi extraído de gelo que remonta a 10.000 anos. Este Pokémon existe há muito, muito, muito tempo."
474,Porygon-Z,535,85,80,70,135,75,90,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1f2551fec0bed487d3e7e55c5300aed0175e02f3.png,"An additional program was installed to create a more advanced Pokémon, but it was apparently flawed. Porygon-Z moves oddly as a result.","Um programa adicional foi instalado para criar um Pokémon mais avançado, mas aparentemente apresentava falhas. Como resultado, Porygon-Z se move estranhamente."
475,Gallade,518,68,125,65,65,115,80,Psychic,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/20b55228e9d4c4160aed8b25cffbb2be48b80a16.png,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely.","Ao tentar proteger alguém, estende os cotovelos como se fossem espadas e luta ferozmente."
475,Mega Gallade,618,68,165,95,65,115,110,Psychic,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6da484037d3e6cbd358a26766b62686440dbb638.png,"Because it can sense what its foe is thinking, its attacks burst out first, fast, and fierce.","Como ele pode sentir o que seu inimigo está pensando, seus ataques são os primeiros, rápidos e ferozes."
476,Probopass,525,60,55,145,75,150,40,Rock,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3ef169934683ee93a67974436a500df55cbaed7a.png,"It controls three units called Mini-Noses using magnetic force. With them, it can attack a foe from three directions.","Ele controla três unidades chamadas Mini-Nariz usando força magnética. Com eles, pode atacar um inimigo de três direções."
477,Dusknoir,525,45,100,135,65,135,45,Ghost,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/48ae5a55b7cd9a0f8809a00bcede50612027d279.png,It is said to take lost spirits into its pliant body and take them to the afterlife.,Diz-se que ele leva os espíritos perdidos para seu corpo flexível e os leva para a vida após a morte.
478,Froslass,480,70,80,70,80,70,110,Ice,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/caa060a11c4104aed3812e715417ebf6666cfaa7.png,"When it finds humans or Pokémon it likes, it freezes them and takes them to its chilly den, where they become decorations.","Quando encontra humanos ou Pokémon de que gosta, ele os congela e os leva para sua toca gelada, onde se tornam decorações."
479,Rotom,440,50,50,77,95,77,91,Electric,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0e8fe050bf0d35f752267629707bddef00bc1405.png,Its electricity-like body can enter some kinds of machines and take control in order to make mischief.,Seu corpo semelhante a eletricidade pode entrar em alguns tipos de máquinas e assumir o controle para causar danos.
479,Rotom Fan Rotom,520,50,65,107,105,107,86,Electric,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5c944a559e8b4e9b0777fa9da6184699e7191177.png,This Rotom has entered an electric fan. It smirks with satisfaction over a prank well pulled after it blows away everything around it.,Este Rotom entrou em um ventilador elétrico. Ele sorri de satisfação com uma pegadinha bem pregada depois de explodir tudo ao seu redor.
479,Rotom Frost Rotom,520,50,65,107,105,107,86,Electric,Ice,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ee47af3e5bc6086d2a86563a3eb551c29e868f1f.png,This Rotom has entered a refrigerator. It leaps around gleefully after it uses cold air to freeze the area around it.,Este Rotom entrou em uma geladeira. Ele salta alegremente depois de usar ar frio para congelar a área ao seu redor.
479,Rotom Heat Rotom,520,50,65,107,105,107,86,Electric,Fire,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/33178791bfd0fe023d256323245520179fce3078.png,"If the convection microwave oven is not working properly, then the Rotom inhabiting it will become lethargic.","Se o forno micro-ondas de convecção não estiver funcionando corretamente, o Rotom que o habita ficará letárgico."
479,Rotom Mow Rotom,520,50,65,107,105,107,86,Electric,Grass,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b33043ee998342cb958abacaecf4d76ebc056983.png,The lawn mower is one of the household appliances that led to the development of the Rotom Dex.,O cortador de grama é um dos eletrodomésticos que deu origem ao desenvolvimento do Rotom Dex.
479,Rotom Wash Rotom,520,50,65,107,105,107,86,Electric,Water,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fb51d6e2d5f5083ff81afea2a2a45d7c001c691c.png,This Rotom has entered a washing machine. It nods with satisfaction after it floods the surrounding area.,Este Rotom entrou em uma máquina de lavar. Ele acena com satisfação depois de inundar a área circundante.
480,Uxie,580,75,75,130,75,130,95,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/abdc1a6d8fbf97d2ce4f42f39a7618ed5ee58f29.png,"Known as the Being of Knowledge, it is said that it can wipe out the memory of those who see its eyes.","Conhecido como o Ser do Conhecimento, diz-se que pode apagar a memória de quem vê os seus olhos."
481,Mesprit,580,80,105,105,105,105,80,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c4c3b5fa66ccb67b58294e01c1dab249be5468a0.png,"Known as the Being of Emotion, it taught humans the nobility of sorrow, pain, and joy.","Conhecido como o Ser da Emoção, ensinou aos humanos a nobreza da tristeza, da dor e da alegria."
482,Azelf,580,75,125,70,125,70,115,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7a5384f7f9544160fac09bb8a5288236b78547fa.png,"Known as the Being of Willpower, it sleeps at the bottom of a lake to keep the world in balance.","Conhecido como o Ser da Força de Vontade, dorme no fundo de um lago para manter o equilíbrio do mundo."
483,Dialga,680,100,120,120,150,100,90,Steel,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8668d7ffbb6f65021375ea43c9cc717d8ec1b156.png,A Pokémon spoken of in legend. It is said that timebegan moving when Dialga was born.,Um Pokémon mencionado na lenda. Diz-se que o tempo começou a passar quando Dialga nasceu.
483,Dialga Origin Forme,680,100,100,120,150,120,90,Steel,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/eda09f7ae6a3f5c71eeb1613b2da7b769cf12ae6.png,Radiant light caused Dialga to take on a form bearing a striking resemblance to the creator Pokémon. Dialga now wields such colossal strength that one must conclude this is its true form.,A luz radiante fez com que Dialga assumisse uma forma que se parecia muito com o Pokémon criador. Dialga agora exerce uma força tão colossal que devemos concluir que esta é sua verdadeira forma.
484,Palkia,680,90,120,100,150,120,100,Water,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/72ef81c09d7c20d3b0004d8a2a3407553ed2440b.png,It is said to live in a gap in the spatial dimensionparallel to ours. It appears in mythology.,Diz-se que vive numa lacuna na dimensão espacial paralela à nossa. Aparece na mitologia.
484,Palkia Origin Forme,680,90,100,100,150,120,120,Water,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/4d278f7838195293997a3fa5bbd685990d40a99f.png,It soars across the sky in a form that greatly resembles the creator of all things. Perhaps this imitation of appearance is Palkia’s strategy for gaining Arceus’s powers.,Ele voa pelo céu em uma forma que se assemelha muito ao criador de todas as coisas. Talvez esta imitação da aparência seja a estratégia de Palkia para ganhar os poderes de Arceus.
485,Heatran,600,91,90,106,130,106,77,Fire,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/33ffbccab92231180b36e4f6ce5fdb24da4c14a0.png,It dwells in volcanic caves. It digs in with itscross-shaped feet to crawl on ceilings and walls.,Habita cavernas vulcânicas. Ele cava com seus pés em forma de cruz para rastejar em tetos e paredes.
486,Regigigas,670,110,160,110,80,110,100,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ffa9cf41b9ce0171942705f59a3280b5c561f6b7.png,"It is said to have made Pokémon that look likeitself from a special ice mountain, rocks, and magma.","Diz-se que ele criou Pokémon parecidos com ele a partir de uma montanha de gelo, rochas e magma especiais."
487,Giratina Altered Forme,680,150,100,120,100,120,90,Ghost,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1a16fdaf9e25191bd623a9ba290010a820687a73.png,"This Pokémon is said to live in a world on thereverse side of ours, where common knowledge isdistorted and strange.","Diz-se que este Pokémon vive num mundo do outro lado do nosso, onde o conhecimento comum é distorcido e estranho."
487,Giratina Origin Forme,680,150,120,100,120,100,90,Ghost,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1081bc5f94f5cfb8bbfacc7c9b382613efc355ca.png,"This Pokémon is said to live in a world on thereverse side of ours, where common knowledge isdistorted and strange.","Diz-se que este Pokémon vive num mundo do outro lado do nosso, onde o conhecimento comum é distorcido e estranho."
488,Cresselia,580,120,70,110,75,120,85,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b55203b6d8f744d6cf9fd013be8d158d1c505c76.png,Shiny particles are released from its wings like aveil. It is said to represent the crescent moon.,Partículas brilhantes são liberadas de suas asas como um véu. Diz-se que representa a lua crescente.
489,Phione,480,80,80,80,80,80,80,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0b3d0a6b63c1d52eaf8cce331a95e7d5676aae13.png,"When the water warms, they inflate the flotation sacon their heads and drift languidly on the seain packs.","Quando a água esquenta, eles inflam o saco de flutuação em suas cabeças e flutuam languidamente nas camadas do mar."
490,Manaphy,600,100,100,100,100,100,100,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a152d107ddb35dda63f879eda326e0f391b5746b.png,It is born with a wondrous power that lets it bondwith any kind of Pokémon.,Nasce com um poder maravilhoso que lhe permite criar laços com qualquer tipo de Pokémon.
491,Darkrai,600,70,90,90,135,90,125,Dark,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b42d945352da56b666f18921e82460bba81898c8.png,"It chases people and Pokémon from its territory bycausing them to experience deep, nightmarish slumbers.","Ele persegue pessoas e Pokémon de seu território, fazendo-os experimentar um sono profundo e de pesadelo."
492,Shaymin Land Forme,600,100,100,100,100,100,100,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b841c39ff825aa872522556a84a32da17cab9146.png,It can dissolve toxins in the air to instantlytransform ruined land into a lush field of flowers.,Ele pode dissolver toxinas no ar para transformar instantaneamente terras em ruínas em um exuberante campo de flores.
492,Shaymin Sky Forme,600,100,103,75,120,75,127,Grass,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7ef4d21b1811a4f1a7912cf78e8a5b20671c64cf.png,It can dissolve toxins in the air to instantlytransform ruined land into a lush field of flowers.,Ele pode dissolver toxinas no ar para transformar instantaneamente terras em ruínas em um exuberante campo de flores.
493,Arceus,720,120,120,120,120,120,120,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1c86ad9c6ea2870346de2ecc1c4d2ffad244c9fc.png,"According to the legends of Sinnoh, this Pokémonemerged from an egg and shaped all there is inthis world.","Segundo as lendas de Sinnoh, este Pokémon emergiu de um ovo e moldou tudo o que existe neste mundo."
494,Victini,600,100,100,100,100,100,100,Psychic,Fire,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/dee875dc781108a1a78575973be7a984a7d68161.png,"This Pokémon brings victory. It is said that Trainerswith Victini always win, regardless of the typeof encounter.","Este Pokémon traz vitória. Diz-se que os Treinadores com Victini sempre vencem, independente do tipo de encontro."
495,Snivy,308,45,45,55,45,55,63,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c95f08ee54a6d137323467bef5891d216e692e66.png,"The leaf on Snivy's tail generates energy when exposed to sunlight, making Snivy swifter and adding an edge to its moves.","A folha na cauda de Snivy gera energia quando exposta à luz solar, tornando Snivy mais rápido e adicionando vantagem aos seus movimentos."
